name;sncf_id;latitude;longitude;country
Boulogne-sur-Mer Ville;FRAEB;50.7157;1.60964;FR
Allenc;FRAEC;44.541296;3.6638926;FR
Pau;FRAEE;43.291762;-0.369626;FR
Hendaye;FRAEF;43.353132;-1.781724;FR
Strasbourg;FRAEG;48.584967;7.734584;FR
Mertzwiller;FRAEH;48.866667;7.683333;FR
Mertzwiller;FRBVY;48.872013;7.6781895;FR
Colmar;FRAEJ;48.073201;7.346967;FR
Mulhouse;FRAEK;47.742224;7.342396000000001;FR
St-Louis (Haut Rhin);FRAEL;47.583333;7.566667;FR
St-Louis La-Chaussée;FRBIH;47.609478100000004;7.5312095;FR
St-Louis;FRXLI;47.5906094;7.5559882;FR
Thann;FRAEM;;;FR
Thann;FRBKM;47.8088208;7.1069795;FR
Thann—St-Jacques;FRBLI;47.8133155;7.0938473;FR
Givors Canal;FRAEO;45.5957662;4.7725754;FR
Aspach-le-Haut;FRAEQ;47.65;7.233333;FR
Aspach-le-Haut;FRGII;47.769396;7.142378999999999;FR
Aspach-le-Bas;FRCAQ;47.759832;7.152375;FR
Avignon Centre;FRAES;43.9419;4.805281;FR
Le Mans;FRAET;47.995034000000004;0.19014;FR
Joué-lès-Tours Berthelot;FRAEV;47.35;0.666667;FR
Eu;FRAEX;50.05;1.416667;FR
Eu-la-Mouillette;FRCVR;50.04890671485089;1.4253687858581543;FR
Eu;FREUX;50.054198799999995;1.4168370000000001;FR
Alleyras;FRAEY;44.919216999999996;3.673517;FR
Le Havre;FRAEZ;49.492996000000005;0.125677;FR
Harfleur;FRAFA;49.506596;0.198269;FR
Harfleur-Halte;FRDOR;49.5059181;0.19208499999999998;FR
Harfleur;FRDOE;49.5136336;0.1989828;FR
Montivilliers;FRAFB;49.55;0.2;FR
Montivilliers;FRDOT;49.5429758;0.189426;FR
Dieppe;FRAFD;49.921788;1.081133;FR
Fontainebleau—Avon;FRAFE;48.416371000000005;2.72634;FR
Péronne;FRAFI;50.0;2.65;FR
Péronne Centre;FRCRJ;49.934996999999996;2.938987;FR
Péronne la Chapelette;FRCSU;49.924488000000004;2.933359;FR
Albi Ville;FRAFJ;43.92238;2.1379580000000002;FR
Orléans Centre;FRAFK;47.907959999999996;1.904666;FR
Vendôme;FRAFM;47.802149799999995;1.0678728000000002;FR
Fréjus;FRAFN;43.432032;6.732941;FR
Fontenay-le-Comte;FRAFQ;46.46785957735252;-0.809592604637146;FR
Acheux-Franleu;FRAFR;50.0826021;1.6574206999999999;FR
St-Hilaire-de-Riez;FRAFS;;;FR
St-Hilaire-de-Riez;FREKO;46.7166736;-1.9496838;FR
St-Hilaire-de-Riez Centre;FRDHN;46.718728000000006;-1.944618;FR
La Clayette—Baudemont;FRAFT;46.2881469;4.2984195;FR
Tours;FRAFW;47.389781;0.693703;FR
Cambrai;FRAFX;50.17662;3.24118;FR
Aiguebelle;FRAGB;45.5437225;6.3067175;FR
Agen;FRAGF;44.208311;0.6209319999999999;FR
Ervy-le-Châtel Halles;FRAGJ;48.033333;3.916667;FR
Fays-la-Chapelle;FRAGK;48.133333;4.016667;FR
Agonac;FRAGO;45.2865966;0.7486706;FR
Limoges Bénédictins;FRAGQ;45.836089;1.267356;FR
Modane;FRAGR;45.193365;6.658161;FR
Agos;FRAGS;43.033333;-0.066667;FR
Argenton-sur-Creuse;FRAGT;46.583333;1.516667;FR
Argenton-sur-Creuse;FRFMT;46.592248;1.518305;FR
Argenton-sur-Creuse Gare Routière;FRNCR;46.587009;1.503158;FR
Roye;FRAGU;49.69805004945369;2.789722681045532;FR
Agay;FRAGY;43.4313701;6.8564997000000005;FR
Versailles;FRAHB;48.7526;2.5735;FR
Versailles-Chantiers;FRDHT;48.795826399999996;2.1358827000000002;FR
Villeneuve-au-Chemin;FRAHC;48.082895;3.8442809999999996;FR
Salvagnac;FRAHY;43.916667;1.7;FR
Maussac;FRAIC;45.483333;2.15;FR
Aix-en-Provence TGV;FRAIE;43.455237;5.317533999999999;FR
Moustéru;FRAIG;48.507451200000006;-3.2435052000000004;FR
Aillevillers;FRAIL;47.9138876;6.3372988;FR
Ailly-sur-Noye;FRAIN;49.75448;2.3641900000000002;FR
Ailly-sur-Somme;FRAIS;49.92838;2.20059;FR
Aigues-Vives (Gard);FRAIV;43.733333;4.166667;FR
Aiserey;FRAIY;47.170501;5.1582447;FR
Vicq-sur-Breuilh;FRAJS;45.645578;1.384455;FR
St-Hilaire-Bonneval;FRAJU;45.716667;1.366667;FR
Boisseuil;FRAJV;45.766667;1.316667;FR
Azay-sur-Indre;FRAJY;47.2;0.95;FR
Mouroux;FRAKV;48.8139949;3.0423421000000004;FR
Alet-les-Bains;FRALB;42.9974445;2.2518325;FR
Allassac;FRALC;45.2589385;1.4731471;FR
Albens;FRALE;45.785946;5.9483418;FR
Pierre-Buffière Ville;FRALL;45.7;1.35;FR
Aix la Marsalouse;FRALM;45.614206266734726;2.3984473943710327;FR
La Ferté-sous-Jouarre;FRALN;48.950741;3.125577;FR
Merten;FRALV;49.25;6.666667;FR
La Ferté-Milon;FRALX;49.1797269;3.1207222999999997;FR
Neuilly-St-Front;FRALY;49.1871466;3.2710249;FR
Oulchy-Breny;FRALZ;49.1876743;3.3524421;FR
Albi Madeleine;FRAMA;43.938010999999996;2.1409629;FR
Ambérieu;FRAMB;45.954008;5.342388;FR
Auxon Église;FRAMH;48.092234999999995;3.923863;FR
Rehainviller;FRAMI;48.566667;6.466667;FR
St-Pierremont;FRAMJ;48.433333;6.583333;FR
Leintrey;FRAMK;48.616667;6.733333;FR
Amenoncourt;FRAML;48.626383000000004;6.78441;FR
Magnac Bourg;FRAMN;45.61815;1.43097;FR
Aigues-Mortes;FRAMO;43.5709008;4.1912101999999996;FR
Meuzac;FRAMP;45.55;1.433333;FR
Orville;FRAMV;47.55;5.2;FR
Torcenay;FRAMW;47.813425;5.470142;FR
Rosoy-sur-Amance;FRAMX;47.833333;5.533333;FR
Bize;FRAMY;47.833333;5.633333;FR
Anrosey;FRAMZ;47.833333;5.666667;FR
Pisseloup;FRANA;47.833333;5.733333;FR
Bétoncourt-sur-Mance;FRANB;47.830622;5.759083;FR
Vernois-sur-Mance;FRANC;47.851944;5.794042;FR
Andelot;FRAND;46.8594671;5.923584;FR
Angers;FRANE;47.466667;-0.55;FR
Angers Maître École;FREHA;47.4670899;-0.531894;FR
Blondefontaine;FRANF;47.883333;5.866667;FR
Angoulême;FRANG;45.653572;0.164608;FR
Raincourt;FRANH;47.859879227409714;5.8859467506408665;FR
Gévigney;FRANI;47.8;5.933333;FR
Baulay;FRANJ;47.783333;6.016667;FR
Amoncourt;FRANK;47.733333;6.066667;FR
Chaux-les-Port;FRANL;47.713834000000006;6.03311;FR
Charmoille;FRANM;47.666667;6.1;FR
Pusey;FRANN;47.65;6.133333;FR
Martigny-les-Gerbonvaux;FRANO;48.45;5.8;FR
Autreville;FRANP;48.483333;5.85;FR
Mont-le-Vignoble;FRANR;48.616667;5.85;FR
Hestroff;FRANS;49.266667;6.433333;FR
Vaudreching;FRANT;49.284483;6.523714;FR
Alzing;FRANU;49.283333;6.55;FR
Villette;FRANY;49.474443;5.541571;FR
Colmey—Flabeuville;FRANZ;49.457202;5.555477;FR
Montigny-sur-Chiers;FRAOA;49.483333;5.666667;FR
Lexy;FRAOB;49.5;5.733333;FR
Ingolsheim;FRAOC;48.97402;7.935905;FR
Hertzing;FRAOH;48.683333;6.95;FR
Bébing;FRAOI;48.7;7.0;FR
Drouilly;FRAOM;48.766667;4.516667;FR
Aiguillon;FRAON;44.298722399999996;0.3352388;FR
St-Martin-aux-Champs;FRAOO;48.816667;4.483333;FR
Bouilly;FRAOP;48.2;4.0;FR
Chamoy;FRAOQ;48.116667;3.966667;FR
Jeugny;FRAOR;48.128443;4.039581;FR
Montigny-les-Monts;FRAOS;48.1;3.95;FR
St-Germain Mairie;FRAOT;48.259910999999995;4.007804;FR
St-Jean-de-Bonneval;FRAOU;48.166667;4.05;FR
St-Phal Monument aux morts;FRAOV;48.116667;4.0;FR
Villery;FRAOW;48.165524;4.023086;FR
Neuvy-Sautour RN;FRAOX;48.033333;3.8;FR
Brienon Mairie;FRAOY;48.0;3.616667;FR
St-Lyé;FRAPA;48.366667;4.0;FR
Payns;FRAPB;48.383333;3.966667;FR
Savières;FRAPC;48.416667;3.95;FR
St-Mesmin;FRAPD;48.45;3.933333;FR
Vallant-St-Georges;FRAPE;48.466167999999996;3.8993309999999997;FR
Châtres;FRAPG;48.5;3.85;FR
Maizières-La Grande-Paroisse;FRAPH;48.516667;3.783333;FR
Romilly-sur-Seine;FRAPI;48.514433000000004;3.7288870000000003;FR
Marnay-sur-Seine;FRAPL;48.516667;3.55;FR
Nogent-sur-Seine;FRAPM;48.49783878;3.49372888;FR
Aigueperse;FRAPS;46.01478839999999;3.1982621;FR
Vendeuvre;FRAPU;48.2400686;4.467213500000001;FR
Bar-sur-Aube;FRAPX;48.2385399;4.7066707999999995;FR
St-Florentin Hôtel de Ville;FRAQV;48.0;3.733333;FR
Laroche-Migennes Hôtel Terminus;FRAQW;;;FR
Foug;FRARB;48.679256099999996;5.7912761;FR
Fontenoy-sur-Moselle;FRARC;48.711721000000004;5.9803654;FR
Liverdun;FRARD;48.7493158;6.0617374;FR
Champigneulles;FRARE;48.73499;6.16913;FR
Laneuveville-devant-Nancy;FRARF;48.655640000000005;6.22792;FR
Argèles-Gazost;FRARG;43.1;-0.05;FR
Arches;FRARH;48.1198133;6.5283085;FR
Varangéville—St-Nicolas;FRARI;48.63533929;6.31286037;FR
Dombasle-sur-Meurthe;FRARJ;48.623275;6.343478;FR
Rosières-aux-Salines;FRARK;48.60563;6.350457;FR
Argelès-sur-Mer;FRARM;42.54397;3.022349;FR
Marainviller;FRARN;48.583333;6.6;FR
Embermenil;FRARP;48.633333;6.7;FR
Einvaux;FRARR;48.5034859;6.3932959;FR
Bayon;FRARS;48.468046;6.3225690000000005;FR
Argentan;FRART;48.738545;-0.025291;FR
Xermamenil—Lamath;FRARU;48.534981;6.457553;FR
Arvant;FRARV;45.365379700000005;3.3106747000000003;FR
Gerbeviller;FRARW;48.5;6.516667;FR
Moyen;FRARX;48.483333;6.566667;FR
Soulosse;FRARY;48.40923;5.739127;FR
Magnières;FRARZ;48.45;6.566667;FR
Ascq;FRASC;50.6218591;3.1598992000000004;FR
Coussey;FRASE;48.416667;5.683333;FR
Domremy-la-Pucelle;FRASF;48.45;5.683333;FR
Auxerre-St-Gervais;FRASG;47.797645;3.58514;FR
Aspres-sur-Buëch;FRASH;44.519428000000005;5.7545655;FR
St-Clément-Laronxe;FRASI;48.5312283;6.6081107999999995;FR
Chenevières;FRASJ;48.5195062;6.6325613;FR
Ménil-Flin;FRASK;48.5050204;6.6592265;FR
Azerailles;FRASL;48.4913355;6.695778;FR
Baccarat;FRASM;48.452405;6.74383;FR
Bertrichamps;FRASN;48.4283359;6.791234299999999;FR
Thiaville;FRASO;48.4139874;6.8102635;FR
Houdemont;FRASQ;48.645478000000004;6.1797255;FR
Ludres;FRASR;48.6219545;6.1709118;FR
Messein;FRASS;48.6128788;6.1378364;FR
Neuves-Maisons;FRAST;48.6147666;6.1078904000000005;FR
Pont-St-Vincent;FRASU;48.6023732;6.1031502;FR
Aixe-sur-Vienne;FRASV;45.796500200000004;1.1456892;FR
Adamswiller;FRASW;48.903757656798746;7.201194763183593;FR
Bainville;FRASX;48.5863794;6.099327;FR
Xeuilley;FRASZ;48.5697134;6.1022334;FR
Pierreville;FRATA;48.5488838;6.1241409;FR
Pulligny—Autrey;FRATB;48.5360716;6.1374765;FR
Ceintrey;FRATC;48.523865;6.1572868;FR
Tantonville;FRATE;48.4838433;6.129105;FR
Vézelise;FRATF;48.4805518;6.1006508;FR
Praye-sous-Vaudémont;FRATH;48.4327891;6.1006981;FR
Diarville;FRATJ;48.3975653;6.1264921999999995;FR
Domgermain;FRATN;48.65;5.816667;FR
Charmes-la-Côte;FRATO;48.633333;5.833333;FR
Blenod-les-Toul;FRATP;48.6;5.833333;FR
Bulligny—Crézilles;FRATQ;48.576646000000004;5.848966000000001;FR
Barisey-la-Côte;FRATR;48.55;5.85;FR
Pompey;FRATS;48.77304;6.13061;FR
Marbache;FRATT;48.801040500000006;6.1091755;FR
Belleville;FRATU;48.8195721;6.101864099999999;FR
Dieulouard;FRATV;48.843367;6.071489;FR
Pont-à-Mousson;FRATW;48.90058;6.050841999999999;FR
Luzy-sur-Marne;FRATZ;48.05;5.183333;FR
Chaudenay;FRAUE;47.833333;5.5;FR
Hortes;FRAUF;47.838739000000004;5.553454;FR
Charmoy—Fayl-Billot;FRAUG;47.809308;5.604145;FR
Auch;FRAUH;43.647488;0.596661;FR
Laferté-sur-Amance;FRAUI;47.833333;5.7;FR
Vitrey—Vernois;FRAUJ;47.830405999999996;5.779407;FR
Barges;FRAUK;47.866667;5.85;FR
Bologne;FRAUP;48.1986877;5.1342228;FR
Vignory;FRAUQ;48.2701366;5.124159400000001;FR
Aurillac;FRAUR;44.921092;2.435655;FR
Froncles;FRAUS;48.2964154;5.1419387;FR
Gudmont;FRAUT;48.3382279;5.140827099999999;FR
Donjeux;FRAUU;48.365854399999996;5.1482245;FR
Avignon TGV;FRAVG;43.921586;4.786079;FR
Avail;FRAVI;46.960187;2.0531900000000003;FR
Damblain;FRAVL;48.0937645;5.6563504;FR
Châtillon-sur-Seine;FRAVM;47.861261315189246;4.574829339981079;FR
Avignon;FRAVN;43.95;4.816667;FR
Aguilcourt—Variscourt;FRAVR;49.408017;3.9731370000000004;FR
Prauthoy;FRAVS;47.666667;5.283333;FR
Vaux-sous-Aubigny;FRAVU;47.657894;5.291365;FR
Selongey;FRAVW;47.58704;5.18604;FR
Maatz;FRAVY;47.7;5.45;FR
Champlitte;FRAVZ;47.616667;5.516667;FR
Neuvelle-lès-Champlitte;FRAWA;47.583333;5.55;FR
Oyrières;FRAWB;47.533333;5.566667;FR
Chargey-les-Gray;FRAWC;47.483333;5.583333;FR
Til-Châtel;FRAWE;47.514121;5.169067;FR
Velles;FRAWG;47.833292;5.723971;FR
Vraincourt-Viéville;FRAWI;48.236698100000005;5.1239383;FR
Le Pailly;FRAWM;47.8;5.416667;FR
Rivières-le-Bois;FRAWN;47.733333;5.433333;FR
Grandchamp;FRAWO;47.716667;5.45;FR
Leffond;FRAWP;47.666667;5.466667;FR
Le Martoulet;FRAWV;45.577771999999996;1.471192;FR
Coublanc;FRAXA;47.7;5.466667;FR
Écuelle;FRAXB;47.55;5.55;FR
Corgirnon;FRAXC;47.8;5.5;FR
Rougeux;FRAXD;47.816667;5.583333;FR
Beausoleil;FRAXH;43.75;7.433333;FR
Roville-aux-Chênes;FRAXJ;48.383333;6.6;FR
Docelles—Cheniménil;FRAXM;48.1436134;6.610479300000001;FR
Lépanges;FRAXN;48.1727165;6.6722884;FR
Charmes;FRAXO;48.378483;6.301537000000001;FR
Vincey;FRAXP;48.343647100000005;6.3355129;FR
Châtel—Nomexy;FRAXQ;48.307156;6.387807;FR
Igney;FRAXR;48.2709639;6.3995463;FR
Thaon;FRAXS;48.24465;6.416384;FR
Raves—Ban-de-Laveline;FRAXT;48.265723;7.0378799;FR
Xertigny;FRAXU;48.053025500000004;6.3767687;FR
Bains-les-Bains;FRAXW;47.9811282;6.2952683;FR
Laveline-devant-Bruyères;FRAXX;48.185596000000004;6.7512466;FR
Biffontaine;FRAXZ;48.205939799999996;6.8071811;FR
Corcieux—Vanémont;FRAYA;48.1982842;6.877291499999999;FR
Mirecourt;FRAYC;48.299243;6.129651;FR
Contrexéville;FRAYG;48.179612899999995;5.890633;FR
Martigny-les-Bains;FRAYH;48.1086889;5.8255764;FR
Lamarche;FRAYI;48.0901299;5.7604385;FR
Rozières-sur-Mouzon;FRAYJ;48.120892100000006;5.7054886;FR
Provenchères-sur-Fave;FRAYL;48.3046291;7.085490400000001;FR
Colroy—Lubine;FRAYP;48.3145855;7.131729400000001;FR
Pouxeux;FRAYR;48.103942100000005;6.5810266;FR
Éloyes;FRAYS;48.087067;6.6001593;FR
Vecoux;FRAYU;47.980175;6.636951;FR
St-Léonard;FRAYV;48.217081799999995;6.9415509;FR
Rupt-sur-Moselle;FRAYX;47.933333;6.666667;FR
Ferdrupt;FRAYY;47.9;6.716667;FR
Ramonchamp;FRAYZ;47.9;6.75;FR
Le Thillot;FRAZA;47.883333;6.766667;FR
Fresse;FRAZB;47.866667;6.783333;FR
St-Maurice-sur-Moselle;FRAZC;47.866667;6.833333;FR
Bussang;FRAZE;47.883333;6.85;FR
Raon-l’Étape;FRAZH;48.404002;6.837302;FR
Vagney;FRAZI;48.005974;6.710572999999999;FR
Étival-Clairefontaine;FRAZJ;48.3671987;6.876960700000001;FR
Zainvillers;FRAZK;47.996347;6.713764;FR
Thiéfosse;FRAZL;47.969892;6.73061;FR
Saulxures-sur-Moselotte;FRAZM;47.95;6.766667;FR
St-Michel-sur-Meurthe;FRAZN;48.3269843;6.888277700000001;FR
Cornimont;FRAZO;47.966667;6.833333;FR
Deinvillers;FRAZP;48.416667;6.55;FR
Rambervillers;FRAZR;48.35;6.633333;FR
Jeanmenil;FRAZS;48.333333;6.683333;FR
Autrey;FRAZU;48.3;6.683333;FR
Dompaire;FRAZW;48.216667;6.216667;FR
Brouvelieures;FRAZX;48.233333;6.733333;FR
Bocquegney;FRBAB;48.216667;6.3;FR
Racecourt;FRBAD;48.25;6.183333;FR
Vélotte-et-Tatignecourt;FRBAF;48.261475;6.164487;FR
Bagnoles-de-l’Orne Office de Tourisme;FRBAN;48.55437;-0.410609;FR
St-Nabord;FRBAW;48.0461722;6.581894500000001;FR
